userAgent,anomaly_score,log_total_calls,out_degree,entropy,max_call
aws-cli/1.16.206 Python/3.6.0 Windows/10 botocore/1.12.196,3.3189378,4.4308167,25.0,2.9963145,8.0
aws-cli/1.11.13 Python/3.5.2 Linux/4.4.0-34-generic botocore/1.4.70,3.1982782,4.189655,37.0,3.3970616,6.0
aws-cli/2.0.6 Python/3.8.2 Darwin/19.4.0 botocore/2.0.0dev10,3.1584802,4.304065,41.0,3.4628754,9.0
[Boto3/1.9.171 Python/3.7.3 Linux/5.1.0-parrot1-3t-amd64 Botocore/1.12.171 Resource],3.0726628,8.994048,17.0,2.7396562,894.0
aws-cli/1.11.13 Python/3.5.2 Linux/4.4.0-1050-aws botocore/1.4.70,3.0010753,3.3322046,26.0,3.2444928,2.0
[Boto3/1.9.86 Python/3.7.3 Linux/5.1.0-parrot1-3t-amd64 Botocore/1.12.170 Resource],2.9905837,9.011523,17.0,2.7174404,912.0
Boto3/1.11.16 Python/3.7.6 Linux/5.4.0-kali3-amd64 Botocore/1.14.16,2.9681392,5.4722705,28.0,2.917138,24.0
aws-sdk-go/1.12.55 (go1.10.3; darwin; amd64),2.8874373,6.1862087,43.0,3.6602454,30.0
aws-sdk-nodejs/2.653.0 linux/v12.15.0 callback,2.836141,7.52564,77.0,4.0070143,76.0
aws-sdk-go/1.8.11 (go1.8; linux; amd64),2.8278298,5.170484,33.0,3.4137375,17.0
aws-sdk-ruby2/2.7.16 ruby/2.3.1 x86_64-linux-gnu,2.7808282,4.1431346,39.0,3.4929156,5.0
aws-cli/2.0.50 Python/3.8.5 Darwin/19.6.0 source/x86_64 command/ec2.describe-security-groups,2.7222025,0.6931472,1.0,0.0,1.0
aws-cli/1.14.44 Python/3.6.8 Linux/4.4.0-039049-Microsoft botocore/1.8.48,2.6833298,6.347389,100.0,1.9976517,317.0
aws-cli/2.0.37 Python/3.7.4 Darwin/19.6.0 exe/x86_64 command/iam.get-policy-version,2.62757,0.6931472,1.0,0.0,1.0
aws-sdk-java/1.11.301 Linux/4.9.93-linuxkit-aufs Java_HotSpot(TM)_64-Bit_Server_VM/25.172-b11 java/1.8.0_172,2.6199794,9.148571,1.0,0.0,9400.0
Boto3/1.7.48 Python/3.8.2 Linux/4.9.184-linuxkit Botocore/1.10.48,2.5824065,6.703188,140.0,4.279161,42.0
[Boto3/1.7.66 Python/2.7.14+ Linux/4.13.0-kali1-amd64 Botocore/1.10.66 Resource],2.5622194,8.093157,1.0,0.0,3271.0
aws-cli/1.9.10 Python/2.7.9 Windows/8 botocore/1.3.10,2.5518777,3.5553482,23.0,2.9734855,5.0
Boto3/1.7.48 Python/3.7.5 Windows/10 Botocore/1.10.48,2.499932,4.804021,108.0,4.6295524,3.0
Boto/2.10.0 (linux2),2.4909518,6.6066504,12.0,2.3432364,120.0
aws-sdk-nodejs/2.413.0 linux/v12.0.0 callback,2.4896574,7.1316986,49.0,3.6851823,64.0
config.amazonaws.com,2.4077466,8.9662285,50.0,0.33276805,7473.0
aws-cli/1.11.168 Python/2.7.6 Linux/3.13.0-92-generic botocore/1.7.26,2.3960226,4.5325994,24.0,2.7173018,16.0
[Boto3/1.7.65 Python/3.5.2 Linux/4.13.0-37-generic Botocore/1.10.65 Resource],2.3518062,8.759826,1.0,0.0,6372.0
Boto3/1.9.149 Python/2.7.10 Darwin/18.5.0 Botocore/1.12.149,2.300894,6.0980744,51.0,2.7794948,108.0
aws-cli/2.0.39 Python/3.7.7 Windows/10 exe/AMD64 command/iam.get-policy-version,2.3000164,0.6931472,1.0,0.0,1.0
Boto3/1.4.4 Python/2.7.12 Linux/4.4.0-78-generic Botocore/1.5.56 Resource,2.2826622,8.643826,5.0,0.8233551,2866.0
aws-cli/1.14.1 Python/2.7.12 Linux/4.4.0-112-generic botocore/1.8.5,2.2186449,3.4011974,19.0,2.8414602,4.0
Boto3/1.9.62 Python/3.6.5 Darwin/18.0.0 Botocore/1.12.62,2.1826963,4.26268,32.0,3.3496723,7.0
aws-cli/1.16.145 Python/3.6.7 Linux/4.15.0-45-generic botocore/1.12.135,2.1787758,3.7376697,22.0,2.7049007,11.0
aws-cli/2.0.17 Python/3.7.4 Darwin/19.4.0 botocore/2.0.0dev21,2.076778,3.988984,30.0,3.2022188,5.0
Boto/2.47.0 Python/2.7.12 Linux/4.4.0-78-generic,2.066048,6.765039,11.0,2.0820131,140.0
[Boto3/1.4.4 Python/2.7.12 Linux/4.4.0-78-generic Botocore/1.5.56],2.0637453,8.108021,12.0,2.4303792,306.0
aws-cli/2.0.49 Python/3.7.4 Darwin/19.6.0 exe/x86_64 command/cloudtrail.describe-trails,2.0626786,0.6931472,1.0,0.0,1.0
[S3Console/0.4],2.0560725,7.184629,16.0,2.235112,426.0
ElasticWolf/5.0.0,2.04588,4.6821313,28.0,2.9491,15.0
aws-cli/1.14.30 Python/3.6.4 Darwin/17.3.0 botocore/1.8.34,2.0032203,3.1354942,13.0,2.4133406,4.0
Apache-HttpClient/4.5.x (Java/1.8.0_102),1.9843638,7.1196356,39.0,2.4704986,450.0
lambda.amazonaws.com,1.9831171,8.55891,1.0,0.0,5212.0
aws-cli/1.16.134 Python/3.7.4 Linux/5.3.8-arch1-1 botocore/1.12.124,1.9760231,3.1354942,15.0,2.626165,3.0
Boto3/1.13.12 Python/3.6.9 Linux/5.3.0-1017-aws Botocore/1.16.12,1.9675909,5.5412636,159.0,4.532538,22.0
aws-cli/1.14.18 Python/2.7.3 Linux/3.18.0-kali1-amd64 botocore/1.8.22,1.9039865,5.673323,43.0,3.0063813,54.0
Boto3/1.7.14 Python/3.6.1 Linux/4.9.93-41.60.amzn1.x86_64 Botocore/1.10.14,1.8845681,4.1431346,28.0,2.5982432,16.0
aws-sdk-nodejs/2.395.0 darwin/v11.6.0 callback,1.8397008,7.005789,47.0,3.6607616,60.0
aws-sdk-nodejs/2.331.0 linux/v8.11.2 callback,1.8383064,7.0066953,47.0,3.6601913,60.0
aws-sdk-nodejs/2.463.0 win32/v8.11.1 exec-env/AWS_Lambda_nodejs,1.814686,6.350886,17.0,2.4646378,128.0
awslambda-worker,1.7858604,8.165079,2.0,0.006883996,3512.0
aws-sdk-nodejs/2.7.21 linux/v4.3.2 exec-env/AWS_Lambda_nodejs4.3,1.7588184,7.365813,31.0,3.0372913,112.0
aws-cli/1.16.81 Python/3.7.2rc1 Linux/4.9.125-linuxkit botocore/1.12.71,1.7527436,7.3112183,48.0,3.3463576,160.0
aws-cli/2.0.44 Python/3.7.3 Linux/5.4.0-kali3-amd64 exe/x86_64.kali.2020 command/iam.list-policies,1.7481145,0.6931472,1.0,0.0,1.0
aws-sdk-nodejs/2.50.0 darwin/v4.3.2 callback,1.7443093,0.6931472,1.0,0.0,1.0
Boto3/1.14.20 Python/3.8.2 Linux/5.4.0-40-generic Botocore/1.17.20,1.7431537,6.413459,152.0,4.3502665,45.0
aws-cli/1.10.67 Python/2.7.10 Darwin/16.4.0 botocore/1.4.93,1.7303685,5.799093,77.0,4.072881,36.0
aws-cli/1.16.61 Python/2.7.15 Darwin/17.7.0 botocore/1.12.51,1.7117329,4.1743875,26.0,3.086739,8.0
aws-cli/1.16.300 Python/3.7.6 Darwin/19.3.0 botocore/1.13.36,1.70479,1.7917595,2.0,0.50040245,4.0
aws-cli/1.16.140 Python/3.6.7 Linux/4.15.0-47-generic botocore/1.12.130,1.6719496,5.8998976,44.0,2.898356,86.0
aws-cli/1.16.103 Python/2.7.12 Linux/4.4.0-142-generic botocore/1.12.93,1.6578966,4.744932,29.0,2.4747596,52.0
