userAgent,anomaly_score,log_total_calls,out_degree,entropy,max_call
aws-sdk-nodejs/2.513.0 win32/v8.11.1 exec-env/AWS_Lambda_nodejs,0.3021257,5.273,4.0,0.6543204,160.0
aws-cli/2.0.37 Python/3.8.5 Darwin/19.6.0 source/x86_64 command/apigateway.get-stages,0.3021115,0.6931472,1.0,0.0,1.0
aws-cli/2.0.37 Python/3.7.4 Darwin/19.6.0 exe/x86_64 command/apigateway.get-stages,0.3021115,0.6931472,1.0,0.0,1.0
aws-cli/2.0.48 Python/3.7.4 Darwin/18.7.0 exe/x86_64 command/ec2.describe-snapshots,0.3021031,0.6931472,1.0,0.0,1.0
aws-cli/1.11.150 Python/2.7.10 Darwin/17.5.0 botocore/1.7.8,0.30165234,4.317488,13.0,1.6997201,40.0
[Boto3/1.9.120 Python/2.7.15+ Linux/4.9.125-linuxkit Botocore/1.12.130],0.30116177,4.962845,8.0,1.9925256,20.0
AWSPowerShell/3.3.365.0 .NET_Runtime/4.0 .NET_Framework/4.0 OS/Microsoft_Windows_NT_10.0.01985.0 WindowsPowerShell/5.0 ClientSync,0.30094898,8.585412,85.0,1.9993603,3584.0
aws-cli/2.0.9 Python/3.7.4 Darwin/19.5.0 botocore/2.0.0dev13,0.30089197,3.8918202,1.0,0.0,48.0
aws-cli/1.11.139 Python/3.6.3 Linux/4.13.0-37-generic botocore/1.6.6,0.30058122,0.6931472,1.0,0.0,1.0
Boto3/1.11.6 Python/2.7.17 Linux/5.4.0-kali2-amd64 Botocore/1.14.6,0.30023834,6.481577,57.0,3.7634606,32.0
aws-cli/1.15.85 Python/2.7.15rc1 Linux/4.15.0-55-generic botocore/1.10.84,0.30012015,4.2341065,10.0,1.6624246,30.0
aws-cli/1.15.9 Python/2.7.12 Linux/4.13.0-36-generic botocore/1.10.9,0.29987937,2.7725887,10.0,2.0791512,5.0
Boto3/1.14.3 Python/3.8.2 Linux/5.4.0-37-generic Botocore/1.17.3,0.29938185,1.0986123,1.0,0.0,2.0
[aws-cli/1.8.1 Python/2.7.10 Darwin/16.7.0],0.29910445,2.3025851,4.0,1.1490598,5.0
aws-cli/1.10.7 Python/3.5.1 Windows/8.1 botocore/1.3.29,0.29879853,1.0986123,1.0,0.0,2.0
aws-cli/2.0.44 Python/3.7.4 Darwin/19.5.0 exe/x86_64 command/iam.get-user,0.29877317,0.6931472,1.0,0.0,1.0
aws-cli/2.0.6 Python/3.8.2 Darwin/19.3.0 botocore/2.0.0dev10,0.2981457,3.5553482,9.0,1.3684647,21.0
aws-cli/1.14.44 Python/3.6.9 Linux/5.3.0-1019-aws botocore/1.8.48,0.29777044,5.5012584,11.0,0.63536596,208.0
aws-cli/1.7.45 Python/2.7.10 Darwin/15.6.0,0.2969849,0.6931472,1.0,0.0,1.0
aws-cli/1.16.180 Python/3.7.3 Darwin/18.6.0 botocore/1.12.170,0.29658264,5.1416636,17.0,1.5398586,112.0
aws-cli/2.0.49 Python/3.7.4 Darwin/19.6.0 exe/x86_64 command/iam.get-account-authorization-details,0.29620475,1.0986123,1.0,0.0,2.0
aws-cli/1.15.68 Python/2.7.10 Darwin/18.5.0 botocore/1.10.67,0.29578444,5.888878,9.0,0.42174977,332.0
[aws-cli/1.16.43 Python/2.7.15 Linux/3.10.0-862.14.4.el7.x86_64 botocore/1.12.33],0.29569244,2.1972246,4.0,1.3862944,2.0
aws-cli/1.16.140 Python/2.7.10 Darwin/18.6.0 botocore/1.12.130,0.29548034,1.0986123,1.0,0.0,2.0
aws-cli/1.11.117 Python/2.7.10 Darwin/18.6.0 botocore/1.5.80,0.29548034,1.0986123,1.0,0.0,2.0
aws-cli/1.11.34 Python/2.7.10 Darwin/18.6.0 botocore/1.4.91,0.29527235,3.8918202,1.0,0.0,48.0
aws-cli/1.11.53 Python/2.7.12 Darwin/15.6.0 botocore/1.5.16,0.2949901,3.637586,22.0,2.8539567,7.0
aws-cli/1.16.67 Python/2.7.15 Darwin/17.7.0 botocore/1.12.57,0.2941455,5.598422,12.0,0.67739546,234.0
aws-cli/1.18.9 Python/3.7.1 Darwin/19.3.0 botocore/1.15.9,0.29355624,5.2574954,11.0,0.5065725,173.0
aws-cli/1.14.46 Python/3.6.4 Linux/4.15.5-1-ARCH botocore/1.8.50,0.2935256,4.1743875,16.0,2.017663,21.0
aws-cli/1.16.272 Python/2.7.17 Darwin/18.7.0 botocore/1.13.8,0.29302347,4.0430512,13.0,1.7986041,29.0
Boto3/1.9.174 Python/3.5.3 Linux/4.9.0-6-amd64 Botocore/1.12.174,0.2920122,3.0445225,1.0,0.0,20.0
aws-cli/1.17.3 Python/2.7.16 Darwin/19.2.0 botocore/1.14.3,0.2918203,4.4426513,15.0,1.7658944,43.0
[Boto3/1.7.42 Python/2.7.15rc1 Linux/4.14.0-kali3-amd64 Botocore/1.10.42],0.29105708,4.8121843,7.0,1.8460361,20.0
aws-cli/2.0.39 Python/3.7.7 Windows/10 exe/AMD64 command/sts.get-caller-identity,0.29103503,0.6931472,1.0,0.0,1.0
Boto3/1.13.16 Python/2.7.16 Darwin/19.0.0 Botocore/1.16.16,0.290931,6.5638556,612.0,6.2887487,9.0
aws-cli/1.16.61 Python/2.7.12 Linux/4.4.0-53329-Microsoft botocore/1.12.51,0.28958246,3.9318256,11.0,1.3943789,32.0
aws-cli/1.16.198 Python/3.6.8 Linux/3.10.0-957.21.3.el7.x86_64 botocore/1.12.188,0.2893929,4.3438053,12.0,2.0307097,22.0
aws-cli/1.11.38 Python/2.7.9 Windows/7 botocore/1.5.1,0.2872585,2.6390574,3.0,0.53596103,11.0
aws-cli/1.10.46 Python/2.7.6 Linux/3.19.0-77-generic botocore/1.7.16,0.28698078,1.9459101,3.0,0.86756325,4.0
aws-cli/2.0.44 Python/3.7.7 Windows/10 exe/AMD64 command/apigateway.get-stages,0.28652838,0.6931472,1.0,0.0,1.0
Boto/2.48.0 Python/2.7.15rc1 Linux/4.13.0-kali1-amd64,0.28651747,2.3025851,8.0,2.043192,2.0
aws-cli/1.14.28 Python/2.7.5 Linux/3.10.0-1127.10.1.el7.x86_64 botocore/1.8.35,0.28629068,4.7957907,19.0,2.1798546,41.0
aws-cli/1.18.69 Python/3.8.3 Linux/5.4.0-2-amd64 botocore/1.16.26,0.28623676,5.5645204,23.0,1.2422336,190.0
aws-cli/1.11.13 Python/3.5.2 Linux/4.13.0-32-generic botocore/1.4.70,0.28596085,3.9702919,6.0,0.72432005,43.0
Boto3/1.7.48 Python/3.7.3 Linux/5.1.9-arch1-1-ARCH Botocore/1.10.48,0.2859271,6.066108,18.0,2.675424,32.0
Boto3/1.12.31 Python/3.7.7 Linux/5.3.0-kali2-amd64 Botocore/1.15.31,0.28589472,6.645091,50.0,3.5767467,112.0
Boto3/1.12.39 Python/3.7.6 Linux/4.14.154-128.181.amzn2.x86_64 Botocore/1.15.39,0.28589472,6.645091,50.0,3.5767467,112.0
Boto3/1.13.7 Python/3.8.2 Linux/5.5.0-kali2-amd64 Botocore/1.15.46,0.28589472,6.645091,50.0,3.5767467,112.0
Boto3/1.9.223 Python/2.7.15+ Linux/4.15.0-60-generic Botocore/1.12.223,0.28587392,1.0986123,1.0,0.0,2.0
Boto3/1.14.28 Python/3.8.3 Linux/5.6.0-2parrot1-amd64 Botocore/1.17.28,0.28498286,6.6871085,52.0,3.6290708,112.0
aws-cli/1.11.152 Python/2.7.10 Darwin/16.7.0 botocore/1.7.10,0.28470892,5.605802,38.0,2.512237,124.0
aws-cli/1.11.13 Python/3.5.2 Linux/4.13.0-37-generic botocore/1.4.70,0.2842335,1.3862944,3.0,1.0986123,1.0
Boto3/1.9.86 Python/2.7.16 Linux/4.19.0-5-amd64 Botocore/1.5.19,0.28264138,6.5117455,1.0,0.0,672.0
Boto3/1.14.33 Python/3.8.2 Linux/4.9.184-linuxkit Botocore/1.17.33,0.28250104,6.8700533,75.0,3.9253588,112.0
aws-cli/1.14.64 Python/2.7.9 Windows/2012Server botocore/1.9.17,0.28240848,4.6151204,4.0,0.365345,92.0
aws-cli/1.10.54 Python/2.7.10 Darwin/15.6.0 botocore/1.4.44,0.2823296,1.7917595,3.0,0.95027053,3.0
[Boto3/1.9.253 Python/3.7.4 Darwin/18.7.0 Botocore/1.12.253 Resource],0.28222466,1.0986123,1.0,0.0,2.0
[aws-cli/1.15.79 Python/3.6.6 Linux/4.17.0-kali3-amd64 botocore/1.10.78],0.28222466,1.0986123,1.0,0.0,2.0
[Boto3/1.9.218 Python/3.6.8 Linux/5.0.0-27-generic Botocore/1.12.190 Resource],0.28222466,1.0986123,1.0,0.0,2.0
aws-cli/1.16.239 Python/2.7.16+ Linux/5.2.0-kali2-amd64 botocore/1.12.229,0.28201377,4.3438053,10.0,1.1644161,54.0
aws-cli/1.16.198 Python/3.8.0b2 Linux/4.9.184-linuxkit botocore/1.12.188,0.28195068,5.645447,18.0,2.6711755,21.0
"Cyberduck/30.1.75.147573 (Windows 7/6.1) (x86), aws-sdk-java/1.11.381 Windows_7/6.1 IKVM.NET/8.1.6610.0 java/1.8.0 kotlin/1.1.50",0.281742,3.1780539,3.0,0.98994905,10.0
aws-cli/1.18.40 Python/3.7.6 Linux/5.7.0-kali1-amd64 botocore/1.15.40,0.28128517,4.912655,8.0,0.6861818,112.0
aws-cli/1.18.0 Python/3.7.4 Darwin/19.3.0 botocore/1.15.0,0.2812301,4.1431346,4.0,0.30629584,58.0
[Boto3/1.11.7 Python/3.7.5 Linux/5.0.0-36-generic Botocore/1.14.7],0.28091836,4.0253515,7.0,1.7653589,12.0
aws-cli/1.14.11 Python/3.6.7 Linux/4.15.0-43-generic botocore/1.8.15,0.279679,4.0430512,10.0,0.916916,45.0
Boto/2.49.0 Python/2.7.10 Darwin/18.7.0,0.27882078,2.3025851,8.0,2.043192,2.0
Boto/2.46.1 Python/2.7.13 Linux/4.6.0-kali1-686-pae,0.27882078,2.3025851,8.0,2.043192,2.0
aws-cli/2.0.50 Python/3.7.4 Darwin/19.6.0 exe/x86_64 command/ec2.describe-snapshots,0.278427,1.3862944,1.0,0.0,3.0
aws-cli/1.16.283 Python/3.6.8 Linux/4.15.0-1051-aws botocore/1.13.19,0.27817747,1.0986123,1.0,0.0,2.0
aws-cli/1.16.157 Python/3.7.3 Darwin/18.6.0 botocore/1.12.147,0.27734658,1.0986123,1.0,0.0,2.0
aws-cli/2.0.39 Python/3.7.3 Linux/5.4.0-40-generic exe/x86_64.linuxmint.20 command/sts.get-caller-identity,0.27733755,0.6931472,1.0,0.0,1.0
aws-cli/1.15.71 Python/3.5.2 Linux/4.15.0-38-generic botocore/1.10.70,0.27726856,3.3672957,11.0,2.0268831,10.0
[Boto3/1.9.250 Python/2.7.16+ Linux/5.2.0-kali2-amd64 Botocore/1.12.250],0.2772083,0.6931472,1.0,0.0,1.0
[aws-cli/1.14.28 Python/2.7.11 Darwin/18.2.0 botocore/1.8.32],0.2772083,0.6931472,1.0,0.0,1.0
aws-cli/1.16.208 Python/3.7.4 Linux/5.2.5-arch1-1-ARCH botocore/1.12.198,0.27683753,4.9767337,11.0,1.1025615,104.0
aws-cli/1.18.97 Python/3.6.9 Linux/4.15.0-111-generic botocore/1.17.20,0.27680084,0.6931472,1.0,0.0,1.0
[aws-cli/1.11.169 Python/2.7.10 Darwin/17.2.0 botocore/1.7.27],0.2767756,0.6931472,1.0,0.0,1.0
aws-cli/1.11.120 Python/2.7.10 Darwin/17.4.0 botocore/1.5.83,0.2752675,4.26268,17.0,1.5798992,45.0
Boto3/1.9.83 Python/3.7.0 Darwin/19.0.0 Botocore/1.12.236,0.27498695,4.4998097,1.0,0.0,89.0
aws-cli/2.0.38 Python/3.7.4 Darwin/19.6.0 exe/x86_64 command/iam.get-user,0.27471635,0.6931472,1.0,0.0,1.0
[aws-cli/1.16.120 Python/3.7.2 Darwin/18.7.0 botocore/1.12.110],0.2744511,2.944439,2.0,0.59084225,13.0
aws-cli/1.16.113 Python/3.7.3rc1 Linux/4.19.0-4-amd64 botocore/1.12.103,0.27374944,4.7957907,4.0,0.5127086,104.0
aws-cli/1.15.21 Python/3.6.5 Linux/4.16.8-1-ARCH botocore/1.10.21,0.27282068,4.1108737,33.0,2.9737952,17.0
[Boto3/1.9.62 Python/2.7.15 Darwin/18.0.0 Botocore/1.12.62],0.27265525,4.276666,8.0,1.9925256,10.0
aws-cli/1.16.150 Python/3.7.3 Darwin/18.5.0 botocore/1.12.140,0.27229372,5.26269,26.0,2.367935,78.0
aws-cli/1.11.56 Python/2.7.10 Darwin/16.4.0 botocore/1.5.19,0.27185637,5.7300997,50.0,2.8646586,105.0
Boto3/1.10.2 Python/3.7.7 Darwin/19.5.0 Botocore/1.13.2,0.2718459,1.609438,4.0,1.3862944,1.0
aws-cli/2.0.52 Python/3.7.3 Linux/4.19.128-microsoft-standard exe/x86_64.ubuntu.20 command/iam.list-access-keys,0.27130312,1.609438,1.0,0.0,4.0
aws-cli/1.16.283 Python/3.6.0 Windows/10 botocore/1.13.19,0.2706042,5.598422,41.0,2.3537166,138.0
[aws-sdk-nodejs/2.50.0 darwin/v4.3.2 callback],0.27034456,1.0986123,1.0,0.0,2.0
aws-cli/1.15.75 Python/2.7.10 Darwin/18.2.0 botocore/1.10.74,0.27016032,5.1532917,15.0,1.3377794,120.0
aws-cli/1.18.43 Python/2.7.17 Linux/5.3.0-46-generic botocore/1.15.43,0.2701444,4.1271343,5.0,0.94039977,34.0
aws-cli/1.14.16 Python/3.5.4 Linux/4.12.12-gentoo botocore/1.8.20,0.26977816,4.5325994,20.0,1.977298,38.0
Boto3/1.9.205 Python/3.7.4 Linux/5.2.5-arch1-1-ARCH Botocore/1.12.205,0.26962486,7.425954,61.0,3.7054305,224.0
aws-cli/1.11.169 Python/2.7.14 CYGWIN_NT-10.0/2.9.0(0.318/5/3) botocore/1.7.27,0.26939917,4.3307333,12.0,1.2021191,53.0
aws-cli/1.16.209 Python/3.6.0 Windows/10 botocore/1.12.199,0.2682459,5.17615,3.0,0.21046811,168.0
aws-cli/2.0.50 Python/3.7.3 Linux/4.15.0-117-generic exe/x86_64.ubuntu.18 command/iam.list-attached-user-policies,0.2682264,0.6931472,1.0,0.0,1.0
Boto3/1.11.0 Python/3.6.9 Linux/5.0.0-36-generic Botocore/1.14.0,0.2679891,6.7452364,63.0,3.7581596,112.0
aws-cli/1.16.40 Python/3.7.4 Darwin/19.2.0 botocore/1.12.30,0.2679876,3.871201,9.0,1.3982143,28.0
aws-cli/1.16.261 Python/3.7.4 Darwin/18.7.0 botocore/1.12.251,0.26787776,4.0775375,11.0,1.7452676,28.0
aws-cli/1.16.7 Python/2.7.15rc1 Linux/4.4.0-53329-Microsoft botocore/1.11.7,0.26757714,1.609438,4.0,1.3862944,1.0
aws-cli/2.0.52 Python/3.7.7 Windows/10 exe/AMD64 command/ec2.describe-snapshots,0.26743373,0.6931472,1.0,0.0,1.0
Boto3/1.10.13 Python/2.7.16 Linux/4.17.0-kali1-amd64 Botocore/1.12.14,0.26700485,2.5649493,1.0,0.0,12.0
aws-cli/1.15.0 Python/2.7.14 Darwin/17.4.0 botocore/1.10.0,0.2657524,3.295837,11.0,1.7103026,14.0
aws-cli/1.11.51 Python/3.5.2 Darwin/16.4.0 botocore/1.5.14,0.26571745,3.5263605,14.0,2.3725636,8.0
aws-cli/2.0.54 Python/3.8.5 Darwin/18.7.0 source/x86_64 command/iam.get-user,0.26549333,0.6931472,1.0,0.0,1.0
[Botocore/1.16.19 Python/3.6.9 Linux/5.3.0-1034-aws],0.2650352,3.9512436,7.0,1.8292071,15.0
aws-cli/1.16.60 Python/3.7.1 Darwin/18.2.0 botocore/1.12.50,0.26471344,4.3438053,14.0,1.1338859,58.0
aws-cli/1.18.146 Python/2.7.18rc1 Linux/5.4.0-48-generic botocore/1.18.5,0.2643316,2.3025851,4.0,1.2730284,4.0
aws-cli/1.14.8 Python/2.7.9 Windows/8 botocore/1.8.12,0.26424563,3.6109178,9.0,1.558115,20.0
aws-cli/1.15.31 Python/2.7.13 Linux/4.12.0-kali2-686 botocore/1.10.31,0.2641983,1.609438,3.0,1.0397208,2.0
aws-cli/1.16.219 Python/3.6.0 Windows/10 botocore/1.12.209,0.26360264,3.6635616,20.0,2.8138125,7.0
aws-cli/1.16.54 Python/2.7.15 Windows/10 botocore/1.12.44,0.2635853,0.6931472,1.0,0.0,1.0
aws-cli/1.16.4 Python/2.7.15 Darwin/17.5.0 botocore/1.11.4,0.26345083,3.988984,8.0,0.71206355,45.0
aws-cli/2.0.4 Python/3.7.3 Linux/4.4.0-174-generic botocore/2.0.0dev8,0.26332605,1.0986123,2.0,0.6931472,1.0
aws-cli/1.14.44 Python/3.6.9 Linux/5.3.0-45-generic botocore/1.15.32,0.26332605,1.0986123,2.0,0.6931472,1.0
aws-cli/1.14.40 Python/3.6.4 Darwin/16.7.0 botocore/1.8.44,0.263301,4.3820267,26.0,2.1406362,41.0
aws-cli/1.16.168 Python/3.7.3rc1 Linux/4.19.0-kali3-amd64 botocore/1.12.158,0.26316145,4.4188404,17.0,2.5699005,18.0
aws-cli/1.16.201 Python/3.6.6 Linux/4.15.0-47-generic botocore/1.12.191,0.26307112,1.0986123,1.0,0.0,2.0
aws-cli/2.0.37 Python/3.7.4 Darwin/19.3.0 exe/x86_64 command/ec2.describe-snapshots,0.26275295,1.0986123,1.0,0.0,2.0
aws-cli/1.16.26 Python/3.6.7 Linux/4.18.0-13-generic botocore/1.12.16,0.26235253,2.5649493,3.0,0.7214637,9.0
ElasticWolf/5.1.7,0.26217753,2.7080503,3.0,1.0042424,6.0
aws-cli/1.15.2 Python/3.6.5rc1 Linux/4.15.0-kali2-amd64 botocore/1.10.2,0.26162094,3.7612002,1.0,0.0,42.0
aws-cli/1.14.32 Python/3.6.4 Linux/4.9.79-1-MANJARO botocore/1.8.36,0.26154706,5.529429,15.0,0.9226282,204.0
aws-cli/1.16.58 Python/2.7.15 Darwin/17.7.0 botocore/1.12.48,0.2614805,4.762174,18.0,1.9338601,62.0
aws-sdk-go/1.24.1 (go1.13.1; darwin; amd64),0.26143458,2.944439,3.0,1.0114043,9.0
aws-cli/1.16.10 Python/2.7.9 Windows/8 botocore/1.12.0,0.26077768,5.57973,14.0,1.7037823,134.0
aws-cli/1.18.5 Python/3.6.9 Linux/4.15.0-72-generic botocore/1.15.5,0.2603124,5.605802,10.0,0.47166646,244.0
aws-cli/1.16.200 Python/3.7.4 Darwin/18.2.0 botocore/1.12.190,0.26005217,4.394449,10.0,1.3631725,52.0
aws-cli/1.15.79 Python/2.7.12 Linux/4.15.0-65-generic botocore/1.10.78,0.259979,5.062595,9.0,0.46369925,143.0
[Boto3/1.10.13 Python/2.7.16 Linux/4.17.0-kali1-amd64 Botocore/1.12.14 Resource],0.2595988,4.317488,1.0,0.0,74.0
aws-cli/1.16.120 Python/3.7.3 Darwin/18.2.0 botocore/1.12.110,0.2594615,1.0986123,1.0,0.0,2.0
aws-cli/1.16.73 Python/2.7.15 Darwin/18.2.0 botocore/1.12.63,0.25941718,2.1972246,6.0,1.6674619,3.0
aws-cli/2.0.51 Python/3.7.7 Windows/10 exe/AMD64 command/apigateway.get-stages,0.2592413,0.6931472,1.0,0.0,1.0
aws-cli/1.18.83 Python/3.8.3 Linux/5.6.0-kali2-amd64 botocore/1.17.6,0.25920233,2.7080503,2.0,0.25731868,13.0
[Boto3/1.7.48 Python/3.8.2 Linux/4.9.184-linuxkit Botocore/1.10.48],0.2591692,3.5263605,14.0,2.5984643,4.0
[Boto3/1.7.48 Python/3.7.5 Windows/10 Botocore/1.10.48],0.2591692,3.5263605,14.0,2.5984643,4.0
[Boto3/1.7.48 Python/3.6.7 Linux/4.4.0-53329-Microsoft Botocore/1.10.48],0.2591692,3.5263605,14.0,2.5984643,4.0
aws-cli/1.16.67 Python/2.7.10 Darwin/18.2.0 botocore/1.12.57,0.25868788,2.1972246,6.0,1.732868,2.0
aws-cli/1.16.113 Python/3.6.8 Linux/4.19.0-kali1-amd64 botocore/1.12.103,0.25849038,5.379897,4.0,0.30994976,202.0
aws-cli/1.17.9 Python/3.7.4 Darwin/18.7.0 botocore/1.14.9,0.25810596,0.6931472,1.0,0.0,1.0
aws-cli/1.16.106 Python/2.7.15 Darwin/18.2.0 botocore/1.12.96,0.25791672,5.572154,14.0,0.86189115,218.0
Boto3/1.7.4 Python/3.6.6 Linux/4.16.0-kali2-amd64 Botocore/1.10.4,0.25791326,5.6801724,283.0,5.6274853,4.0
[Boto3/1.13.12 Python/3.8.5 Linux/5.7.0-kali1-amd64 Botocore/1.16.12 Resource],0.25772047,0.6931472,1.0,0.0,1.0
aws-cli/2.0.47 Python/3.7.7 Windows/10 exe/AMD64 command/ec2.describe-snapshots,0.25744432,1.3862944,1.0,0.0,3.0
aws-cli/2.0.39 Python/3.7.7 Windows/10 exe/AMD64 command/iam.list-attached-user-policies,0.25716668,0.6931472,1.0,0.0,1.0
aws-cli/2.0.31 Python/3.7.3 Linux/5.7.0-2parrot2-amd64 botocore/2.0.0dev35,0.2567369,1.609438,1.0,0.0,4.0
aws-cli/2.0.46 Python/3.7.3 Linux/5.7.0-kali1-amd64 exe/x86_64.kali.2020 command/apigateway.get-stages,0.25602105,0.6931472,1.0,0.0,1.0
[Boto3/1.8.4 Python/2.7.15rc1 Linux/4.15.0-33-generic Botocore/1.11.4],0.25565368,4.276666,8.0,1.9925256,10.0
aws-cli/2.0.42 Python/3.7.3 Linux/5.2.0-kali2-amd64 exe/x86_64.kali.2019 command/apigateway.get-stages,0.25527468,0.6931472,1.0,0.0,1.0
aws-cli/1.16.75 Python/3.6.7 Linux/4.18.0-16-generic botocore/1.12.65,0.25504735,1.0986123,1.0,0.0,2.0
aws-cli/1.16.210 Python/3.7.5 Darwin/18.6.0 botocore/1.12.200,0.25491634,5.655992,25.0,1.507344,137.0
aws-cli/2.0.37 Python/3.8.5 Darwin/19.6.0 source/x86_64 command/iam.list-attached-user-policies,0.25428006,1.3862944,1.0,0.0,3.0
aws-cli/1.15.71 Python/3.7.5 Linux/5.2.11-100.fc29.x86_64 botocore/1.10.41,0.25362417,3.871201,7.0,1.4424541,25.0
aws-cli/1.15.70 Python/3.7.0 Darwin/18.2.0 botocore/1.10.69,0.25356022,2.8903718,11.0,2.1659765,5.0
[Boto3/1.14.3 Python/3.8.2 Linux/5.4.0-37-generic Botocore/1.17.3 Resource],0.25353545,1.3862944,1.0,0.0,3.0
aws-cli/1.11.13 Python/3.5.2 Linux/4.15.0-29-generic botocore/1.4.70,0.25343332,4.276666,22.0,2.2995992,30.0
Boto3/1.11.1 Python/3.7.5 Linux/5.3.0-kali2-amd64 Botocore/1.14.1,0.25314924,6.5957804,47.0,3.5161088,112.0
aws-cli/1.16.41 Python/2.7.14+ Linux/4.15.0-kali2-amd64 botocore/1.12.31,0.25287843,1.3862944,3.0,1.0986123,1.0
Boto3/1.7.61 Python/3.5.0 Windows/ Botocore/1.10.62,0.25269756,6.066108,18.0,2.675424,32.0
Boto3/1.12.47 Python/3.8.1 Darwin/19.4.0 Botocore/1.15.47,0.25238878,4.634729,2.0,0.22371808,96.0
Boto3/1.11.17 Python/3.8.1 Darwin/19.2.0 Botocore/1.14.17,0.25231776,6.552508,598.0,6.2509103,13.0
Boto3/1.10.19 Python/3.6.8 Linux/4.15.0-66-generic Botocore/1.13.19,0.25216052,6.561031,603.0,6.2568936,14.0
aws-cli/1.11.13 Python/3.5.2 Linux/5.3.0-1028-aws botocore/1.4.70,0.2519855,3.6888795,8.0,1.0396204,29.0
aws-cli/2.0.36 Python/3.7.3 Linux/5.0.0-38-generic exe/x86_64.ubuntu.19 command/ec2.describe-instances,0.25153923,1.7917595,1.0,0.0,5.0
aws-cli/1.14.44 Python/3.6.7 Linux/4.15.0-44-generic botocore/1.8.48,0.25118598,1.0986123,2.0,0.6931472,1.0
aws-cli/1.18.96 Python/3.8.3 Linux/5.7.4-1-ck botocore/1.17.16,0.25084025,0.6931472,1.0,0.0,1.0
aws-cli/2.0.40 Python/3.7.3 Linux/5.5.0-kali2-amd64 exe/x86_64.kali.2020 command/sts.get-caller-identity,0.25084025,0.6931472,1.0,0.0,1.0
Boto3/1.9.20 Python/2.7.15 Linux/4.16.0-kali2-amd64 Botocore/1.12.20 Resource,0.25076163,6.2461066,18.0,2.6118689,45.0
aws-cli/1.16.112 Python/2.7.15+ Linux/4.19.0-kali1-amd64 botocore/1.12.102,0.25063875,4.727388,9.0,1.9526175,40.0
aws-cli/1.15.34 Python/2.7.9 Windows/8 botocore/1.10.34,0.25061393,5.42495,36.0,1.4187212,169.0
aws-cli/1.9.5 Python/2.7.10 Darwin/16.0.0 botocore/1.3.5,0.24991381,1.0986123,1.0,0.0,2.0
aws-cli/1.16.169 Python/3.7.3 Windows/10 botocore/1.12.159,0.24955909,4.4886365,9.0,1.533804,50.0
Boto3/1.12.26 Python/3.7.6 Linux/5.4.0-kali3-amd64 Botocore/1.15.26,0.24941136,6.5971456,48.0,3.521681,112.0
aws-cli/1.16.72 Python/3.7.1 Windows/10 botocore/1.12.113,0.24920823,5.894403,2.0,0.106101,354.0
[aws-cli/1.15.10 Python/2.7.9 Windows/8 botocore/1.10.10],0.24908069,3.5553482,14.0,2.5885732,4.0
Boto3/1.4.7 Python/2.7.16 Linux/4.19.0-6-amd64 Botocore/1.7.48,0.24830033,6.3578424,59.0,3.778084,28.0
aws-cli/1.16.203 Python/2.7.16 Windows/10 botocore/1.12.193,0.24803898,1.0986123,1.0,0.0,2.0
Boto3/1.9.189 Python/3.7.4 Darwin/18.6.0 Botocore/1.12.189,0.24803898,1.0986123,1.0,0.0,2.0
Boto3/1.14.16 Python/3.8.3rc1 Linux/5.6.0-kali1-amd64 Botocore/1.17.16,0.24798521,8.428362,640.0,6.344308,49.0
aws-cli/1.11.120 Python/2.7.10 Darwin/16.7.0 botocore/1.5.83,0.24795935,3.1354942,2.0,0.3046361,20.0
[aws-cli/1.11.55 Python/2.7.12+ Linux/4.8.0-39-generic botocore/1.5.18],0.24756703,0.6931472,1.0,0.0,1.0
aws-cli/1.16.81 Python/3.6.8 Linux/4.19.0-kali1-amd64 botocore/1.12.71,0.24669792,4.276666,1.0,0.0,71.0
aws-cli/1.16.100 Python/3.7.2 Darwin/18.2.0 botocore/1.12.90,0.2466142,6.037871,17.0,0.9722444,336.0
[Boto3/1.9.20 Python/2.7.15+ Linux/4.18.0-kali1-amd64 Botocore/1.12.21],0.24642725,4.276666,8.0,1.9925256,10.0
[Boto3/1.9.50 Python/2.7.15 Darwin/17.7.0 Botocore/1.12.50],0.24599652,4.276666,8.0,1.9925256,10.0
Boto3/1.9.130 Python/3.7.7 Darwin/19.3.0 Botocore/1.12.130,0.24528235,1.3862944,1.0,0.0,3.0
Boto3/1.5.32 Python/3.6.9 Linux/4.19.86-gentoo Botocore/1.14.16,0.245252,7.30586,608.0,6.2814054,14.0
aws-cli/1.16.109 Python/3.5.2 Linux/4.4.0-142-generic botocore/1.12.99,0.24520916,1.0986123,1.0,0.0,2.0
aws-cli/1.16.166 Python/3.6.7 Linux/4.15.0-50-generic botocore/1.12.156,0.24421655,4.94876,9.0,1.0170959,106.0
aws-cli/1.16.262 Python/3.7.7 Darwin/19.5.0 botocore/1.12.252,0.24405125,1.0986123,1.0,0.0,2.0
[Boto3/1.7.48 Python/3.7.3 Linux/5.1.4-arch1-1-ARCH Botocore/1.10.48],0.2439794,4.204693,14.0,2.5984643,8.0
Boto3/1.5.8 Python/3.6.3 Windows/10 Botocore/1.8.22,0.24391839,5.4467373,17.0,2.7275765,16.0
aws-cli/1.16.19 Python/2.7.14 Windows/10 botocore/1.12.9,0.24385631,1.609438,4.0,1.3862944,1.0
